1,1,1,1,3,0.006666667
0,1,1,1,1,0
0,0,1,1,1,0
1,0,0,1,1,0.01
1,1,0,0,1,0.015
6,1,1,0,0,0.04
7,6,1,1,0,0.073333333
14,7,6,1,1,0.085
26,14,7,6,1,0.196666667
58,26,14,7,6,0.43
87,58,26,14,7,0.716666667
132,87,58,26,14,0.861666667
197,132,87,58,26,0.988333333
153,197,132,87,58,0.966666667
129,153,197,132,87,0.956666667
109,129,153,197,132,0.953333333
65,109,129,153,197,0.893333333
55,65,109,129,153,0.748333333
49,55,65,109,129,0.545
42,49,55,65,109,0.503333333
46,42,49,55,65,0.426666667
41,46,42,49,55,0.436666667
54,41,46,42,49,0.461666667
50,54,41,46,42,0.446666667
52,50,54,41,46,0.401666667
37,52,50,54,41,0.336666667
60,37,52,50,54,0.361666667
59,60,37,52,50,0.318333333
66,59,60,37,52,0.511666667
98,66,59,60,37,0.753333333
85,98,66,59,60,0.803333333
109,85,98,66,59,0.87
91,109,85,98,66,0.943333333
70,91,109,85,98,0.955
50,70,91,109,85,0.851666667
48,50,70,91,109,0.675
38,48,50,70,91,0.618333333
60,38,48,50,70,0.661666667
53,60,38,48,50,0.721666667
62,53,60,38,48,0.758333333
52,62,53,60,38,0.65
38,52,62,53,60,0.558333333
21,38,52,62,53,0.436666667
22,21,38,52,62,0.243333333
